Name                                                                        Category      Checkpoint
Roformer Model: MelBand Roformer | Instrumental Fullness V2 by Gabox        instrumental  mel_band_roformer_instrumental_fullness_v2_gabox.ckpt
Roformer Model: MelBand Roformer | Instrumental Fullness V3 by Gabox        instrumental  mel_band_roformer_instrumental_fullness_v3_gabox.ckpt
Roformer Model: MelBand Roformer | Instrumental by Gabox                    instrumental  mel_band_roformer_instrumental_gabox.ckpt
Roformer Model: MelBand Roformer | Instrumental by becruily                 instrumental  mel_band_roformer_instrumental_becruily.ckpt
Roformer Model: MelBand Roformer | Karaoke V2 by Gabox                      karaoke       mel_band_roformer_karaoke_gabox_v2.ckpt
Roformer Model: MelBand Roformer | Karaoke by Gabox                         karaoke       mel_band_roformer_karaoke_gabox.ckpt
Roformer Model: MelBand Roformer | Karaoke by becruily                      karaoke       mel_band_roformer_karaoke_becruily.ckpt
Roformer Model: MelBand Roformer | Vocals FV1 by Gabox                      vocals        mel_band_roformer_vocals_fv1_gabox.ckpt
Roformer Model: MelBand Roformer | Vocals FV2 by Gabox                      vocals        mel_band_roformer_vocals_fv2_gabox.ckpt
Roformer Model: MelBand Roformer | Vocals FV3 by Gabox                      vocals        mel_band_roformer_vocals_fv3_gabox.ckpt
Roformer Model: MelBand Roformer | Vocals FV4 by Gabox                      vocals        mel_band_roformer_vocals_fv4_gabox.ckpt
Roformer Model: MelBand Roformer | Vocals FV5 by Gabox                      vocals        mel_band_roformer_vocals_fv5_gabox.ckpt
Roformer Model: MelBand Roformer | Vocals FV6 by Gabox                      vocals        mel_band_roformer_vocals_fv6_gabox.ckpt
Roformer Model: MelBand Roformer | Vocals Fullness by Aname                 vocals        mel_band_roformer_vocal_fullness_aname.ckpt
Roformer Model: MelBand Roformer | Vocals V2 by Gabox                       vocals        mel_band_roformer_vocals_v2_gabox.ckpt
Roformer Model: MelBand Roformer | Vocals by Gabox                          vocals        mel_band_roformer_vocals_gabox.ckpt
Roformer Model: MelBand Roformer | Vocals by Kimberley Jensen               vocals        vocals_mel_band_roformer.ckpt
Roformer Model: MelBand Roformer | Vocals by becruily                       vocals        mel_band_roformer_vocals_becruily.ckpt

Available categories: aspiration, crowd, denoise, dereverb, general, guitar, instrumental, instvoc, karaoke, vocals

